Numero;Nimi;Pullokoko;Hinta;Litrahinta;Tyyppi;Luonnehdinta;Pakkaustyyppi;ProsAlkohol;EurPerLAlkohol
25017;Euraist Black Label 37% 50cl PET;-;11,99;23,98;-;-;-;37;64,81081081
25033;Tokaji Furmint Dry 12,5% 75cl;-;4,99;6,65;-;-;-;12,5;53,2
25036;Tokaji Kesöi Arany 10% 50cl;-;9,99;13,32;-;-;-;10;133,2
25041;Monte Cristo Gold Sparkling Sweet 10% 75cl;-;3,99;5,32;-;-;-;10;53,2
25040;Torres Las Mulas Reserve Cabernet Sauvignon Organic 14% 75cl;-;7,99;10,65;-;-;-;14;76,07142857
25042;Gammel Dansk Bitter 38% 100cl;-;33,99;33,99;-;-;-;38;89,44736842
25043;Leffe Brune 6,5% 33cl;-;2,5;7,58;-;-;-;6,5;116,6153846
25049;Sandeman Tawny Porto 10YO 20% 75cl;-;21,99;29,32;-;-;-;20;146,6
25053;Grey Goose Vodka 40% 100cl;-;63,5;63,5;-;-;-;40;158,75
25054;Belvedere Vodka 40% 70cl;-;42,5;60,71;-;-;-;40;151,775
25057;Museum Real Reserva 14,5% 75cl;-;15,5;22,14;-;-;-;14,5;152,6896552
25058;Museum Vinea Tempranillo Crianza 14% 75cl;-;10,99;14,65;-;-;-;14;104,6428571
25062;Yellow Tail Merlot 13,5% 75cl;-;7,5;10;-;-;-;13,5;74,07407407
25060;JÃ¤germeister 35% 4cl MINI;-;1,6;40;-;-;-;35;114,2857143
25070;Absolut Vanilia 40% 70cl;-;17,99;25,7;-;-;-;40;64,25
25063;Yellow Tail Pinot Grigio 11,5% 75cl;-;7,5;10;-;-;-;11,5;86,95652174
25072;Absolut Pears 40% 70cl;-;17,99;25,7;-;-;-;40;64,25
25074;Absolut Citron 40% 70cl;-;17,99;25,7;-;-;-;40;64,25
25071;Absolut Kurant 40% 70cl;-;17,99;25,7;-;-;-;40;64,25
25077;Claude Chatelier XO 40% 70cl;-;46;65,71;-;-;-;40;164,275
25079;Espiritu de Chile Cabernet Sauvignon Semi Sweet 12% 75cl;-;4,5;6;-;-;-;12;50
25080;Espiritu de Chile Sauvignon Blanc Semi Sweet 12% 75cl;-;4,5;6;-;-;-;12;50
25086;Sinebrychoff Long Drink Lime 5,5% 24x33cl;-;18,99;2,4;-;-;-;5,5;43,63636364
25088;Lindemans Winemakers Release Chardonnay 13% 75cl;-;5,99;7,99;-;-;-;13;61,46153846
25083;Newcastle Brown Ale 4,7% 50cl TIN;-;1,9;3,8;-;-;-;4,7;80,85106383
25089;Brancott Estate Pinot Noir 13,5% 75cl;-;9,5;12,67;-;-;-;13,5;93,85185185
25096;Lindemans Winemakers Release Shiraz Cabernet Sauvignon 13,5% 75cl;-;5,99;7,99;-;-;-;13,5;59,18518519
25097;Castel Rose D Anjou 10,5% 75cl;-;6,99;9,32;-;-;-;10,5;88,76190476
25100;Tosti Butterfly 9,5% 75cl;-;4,99;6,65;-;-;-;9,5;70
25102;Espiritu de Chile Gran Reserva Carmenere 13,5% 75cl;-;6,99;9,32;-;-;-;13,5;69,03703704
25105;Lenz Moser Prestige Riesling 12,5% 75cl;-;9,99;13,32;-;-;-;12,5;106,56
25106;Lenz Moser Selection GrÃ¼ner Veltliner 12% 75cl;-;7,99;10,65;-;-;-;12;88,75
25101;Espiritu de Chile Gran Reserva Cabernet Sauvignon 13,5% 75cl;-;6,99;9,32;-;-;-;13,5;69,03703704
25112;Lenz Moser Selection Blauer Zweigelt 13% 75cl;-;8,5;11,33;-;-;-;13;87,15384615
25113;Lenz Moser Prestige Beerenauslese 10% 37,5cl;-;9,99;26,64;-;-;-;10;266,4
25119;Veranda Cabernet Sauvignon-Carmenere 14% 75cl;-;11,99;15,99;-;-;-;14;114,2142857
25120;Veranda Syrah 14% 75cl;-;11,99;15,99;-;-;-;14;114,2142857
25128;Kloster Eberbach Riesling Trocken 12% 75cl;-;12,99;17,32;-;-;-;12;144,3333333
25127;Kloster Eberbach Riesling Feinherb 11,5% 75cl;-;12,99;17,32;-;-;-;11,5;150,6086957
25134;Clan Murray 40% 50cl PET;-;13,99;27,98;-;-;-;40;69,95
25140;Adobe Reserva Chardonnay Organic 13,5% 75cl;-;7,99;10,65;-;-;-;13,5;78,88888889
25148;San Miguel 5% 24x33cl;-;19,99;2,52;-;-;-;5;50,4
25149;Escudo Rojo Baron Philippe De  Rothschild Chardonnay 14% 75cl;-;12,99;17,32;-;-;-;14;123,7142857
25147;DomÃ¤ne Wachau GrÃ¼ner Veltliner 13,5% 75cl;-;16,99;22,65;-;-;-;13,5;167,7777778
25151;Nipernaadi Lime Wild Strawberry Flavoured Vodka 37,5% 50cl;-;8,99;17,98;-;-;-;37,5;47,94666667
25158;Monte Cristo Mojito 15% 50cl PET;-;4,99;9,98;-;-;-;15;66,53333333
25163;Larsen VSOP 40% 50cl PET;-;24,99;49,98;-;-;-;40;124,95
25170;Marlborough Sauvignon Blanc 12% 75cl;-;10,99;14,65;-;-;-;12;122,0833333
25172;Somersby Apple Cider 4,5% 24x33cl TIN;-;22,99;2,9;-;-;-;4,5;64,44444444
25169;Cono Sur Bicicleta Pinot Noir 13% 75cl;-;5,99;7,99;-;-;-;13;61,46153846
25179;Undurraga Terroir Hunter Sauvignon Blanc 13,5% 75cl;-;14,5;19,33;-;-;-;13,5;143,1851852
25182;Undurraga Aliwen Reserva Sauvignon Blanc 13% 75cl;-;7,5;10;-;-;-;13;76,92307692
25183;Undurraga Aliwen Reserva Pinot Noir 13,5% 75cl;-;7,5;10;-;-;-;13,5;74,07407407
25181;Undurraga Terroir Hunter Syrah 14% 75cl;-;14,5;19,33;-;-;-;14;138,0714286
25192;Finca Flichman Gestos Shiraz 14% 75cl;-;9,99;13,32;-;-;-;14;95,14285714
25188;Sandels 4,7% 56,8cl;-;1,4;2,46;-;-;-;4,7;52,34042553
25190;Undurraga Founders Collection Cabernet Sauvignon 14% 75cl;-;22,99;30,65;-;-;-;14;218,9285714
25191;Finca Flichman Gestos Cabernet Sauvignon 14% 75cl;-;9,99;13,32;-;-;-;14;95,14285714
25193;Finca Flichman Gestos Malbec 14% 75cl;-;9,99;13,32;-;-;-;14;95,14285714
25197;Hardy XO 40% 100cl;-;47,5;47,5;-;-;-;40;118,75
25195;Hardy VS 40% 100cl;-;33,5;33,5;-;-;-;40;83,75
25196;Hardy VSOP 40% 100cl;-;38,5;38,5;-;-;-;40;96,25
25199;Black Tower Rivaner 9,5% 300cl BIB;-;19,99;6,66;-;-;-;9,5;70,10526316
25201;KÃ¶nigsmosel Riesling 8,5% 75cl;-;7,5;10;-;-;-;8,5;117,6470588
25205;Stroh Jagertee 40% 100cl;-;22,99;22,99;-;-;-;40;57,475
25207;Saku On Ice 5% 24x33cl;-;17,99;2,27;-;-;-;5;45,4
25206;Stroh Jagertee 60% 50cl;-;17,99;35,98;-;-;-;60;59,96666667
25210;Jacobs Creek Cool Harvest Sauvignon Blanc 10,8% 75cl;-;6,99;9,32;-;-;-;10,8;86,2962963
25216;Luciente Semi Sweet Blanco 11% 75cl;-;3,99;5,32;-;-;-;11;48,36363636
25209;Leffe Blonde 6,6% 33cl;-;2,3;6,97;-;-;-;6,6;105,6060606
25218;Detunda Savignon Blanc 12,5% 300cl BIB;-;13,99;4,66;-;-;-;12,5;37,28
25219;Detunda Cabernet Sauvignon Tempranillo 12,5% 300cl BIB;-;13,99;4,66;-;-;-;12,5;37,28
25217;Luciente Semi Sweet Tinto 12,5% 75cl;-;3,99;5,32;-;-;-;12,5;42,56
25223;Vergi Original Gin 37,5% 50cl PET;-;7,99;15,98;-;-;-;37,5;42,61333333
25228;Landy VS 40% 50cl;-;19,99;39,98;-;-;-;40;99,95
25226;Landy VSOP 40% 50cl;-;24,99;49,98;-;-;-;40;124,95
25232;Chill Out South African Rose 12,5% 300cl BIB;-;16,99;5,66;-;-;-;12,5;45,28
25245;Norton Barrel Select Sauvignon Blanc 13% 75cl;-;7,5;10;-;-;-;13;76,92307692
25246;Val Doca Prosecco Extra Dry 11% 75cl;-;10,99;14,65;-;-;-;11;133,1818182
25249;Landy XO Numero 1  40% 70cl;-;69,99;99,99;-;-;-;40;249,975
25244;Heineken Lager 5% 24x33cl;-;17,99;2,27;-;-;-;5;45,4
25263;The Claymore 40% 100cl;-;17,99;17,99;-;-;-;40;44,975
25266;Barone Montalto Nero DAvola Merlot 13,5% 300cl BIB;-;17,99;6;-;-;-;13,5;44,44444444
25269;Vernissage Syrah Cabernet Sauvignon 14% 300cl BIB;-;19,99;6,66;-;-;-;14;47,57142857
25267;Mauro Primitivo del Salento 14% 300cl BIB;-;19,99;6,66;-;-;-;14;47,57142857
25265;Barone Montalto Cataratto Viognier 12,5% 300cl BIB;-;17,99;6;-;-;-;12,5;48
25274;Happy Cat Glossy Orange Mosel Riesling 10% 50cl;-;8,5;17;-;-;-;10;170
25276;Happy Cat Silver Mosel Riesling 10% 50cl;-;8,5;17;-;-;-;10;170
25275;Happy Cat Black Mosel Riesling 10% 50cl;-;8,5;17;-;-;-;10;170
25279;Mulgi Viin 40% 50cl PET;-;7,99;15,98;-;-;-;40;39,95
25280;Tuletorni Viin 40% 50cl PET;-;7,5;15;-;-;-;40;37,5
25282;Mulgi Viin 40% 20cl PET;-;3,99;19,95;-;-;-;40;49,875
25281;Tuletorni Viin 40% 20cl PET;-;3,99;19,95;-;-;-;40;49,875
25290;J.P. Chenet Medium Sweet White 11% 300cl BIB;-;17,99;6;-;-;-;11;54,54545455
25291;J.P. Chenet Medium Sweet Red 12,5% 300cl BIB;-;17,99;6;-;-;-;12,5;48
25293;St. Remy Authentic XO 36% 50cl PET;-;15,99;31,98;-;-;-;36;88,83333333
25307;Pierre Ferrand 1er Cru Cognac Esprit des Dieux 40% 70cl;-;67,5;96,43;-;-;-;40;241,075
25308;Pierre Ferrand 1er Cru Cognac Selection des Anges 40% 70cl;-;86,99;124,27;-;-;-;40;310,675
25312;Fuzion Alta Torrontes Pinot Grigio 12,5% 75cl;-;6,99;9,32;-;-;-;12,5;74,56
25306;Pierre Ferrand 1er Cru Cognac Ambre 40% 70cl;-;36,99;52,84;-;-;-;40;132,1
25304;Highland Queen 40% 100cl;-;22,99;22,99;-;-;-;40;57,475
25305;Pierre Ferrand 1er Cru Cognac Reserve 40% 70cl;-;55,99;79,99;-;-;-;40;199,975
25311;J.P. Chenet XO Brandy 36% 70cl;-;15,99;22,84;-;-;-;36;63,44444444
25316;Fuzion Shiraz Cabernet 12% 75cl;-;5,99;7,99;-;-;-;12;66,58333333
25314;Fuzion Alta Cabernet Sauvignon Reserva 13,5% 75cl;-;6,99;9,32;-;-;-;13,5;69,03703704
25313;Fuzion Alta Malbec Reserve 13% 75cl;-;6,99;9,32;-;-;-;13;71,69230769
25318;Fuzion Chenin Chardonnay 13% 75cl;-;5,99;7,99;-;-;-;13;61,46153846
25319;Fuzion Chardonnay 13% 75cl;-;5,75;7,67;-;-;-;13;59
25324;Jaume Serra CRISTALINO Cava Rose Brut 11,5% 75cl;-;6,5;8,67;-;-;-;11,5;75,39130435
25327;Amaretto Demandis 20% 70cl;-;9,99;14,27;-;-;-;20;71,35
25329;Moselland Goldschild Riesling Kabinett Trocken 11% 75cl;-;8,99;11,99;-;-;-;11;109
25331;Moselland Goldschild Riesling Trocken Saar 12,5% 75cl;-;7,99;10,65;-;-;-;12,5;85,2
25330;Moselland Goldschild Riesling Kabinett SÃ¼ss 9% 75cl;-;8,99;11,99;-;-;-;9;133,2222222
25326;Santa Carolina Sauvignon Blanc 12,5% 75cl;-;4,99;6,65;-;-;-;12,5;53,2
25338;Hardys BIN 545 Rose 11,5% 75cl;-;5,99;7,99;-;-;-;11,5;69,47826087
25339;Kochi Raspberry Liqueur 21% 50cl PET;-;4,9;9,8;-;-;-;21;46,66666667
25341;Kochi Wild Strawberry Liqueur 21% 50cl PET;-;5,5;11;-;-;-;21;52,38095238
25340;Kochi Cranberry Liqueur 21% 50cl PET;-;4,9;9,8;-;-;-;21;46,66666667
25348;Kochi Coffee Liqueur 21% 50cl PET;-;5,5;11;-;-;-;21;52,38095238
25350;Torres Celeste Crianza 14% 75cl;-;11,99;15,99;-;-;-;14;114,2142857
25349;Kochi Amaretto Liqueur 21% 50cl PET;-;5,5;11;-;-;-;21;52,38095238
25352;Gabriel Meffre Laurus 14% 75cl;-;10,99;14,65;-;-;-;14;104,6428571
25360;Henri Bourgeois Les Baronnes Sancerre 12,5% 75cl;-;25,99;34,65;-;-;-;12,5;277,2
25362;Undurraga Aliwen Reserva Chardonnay 13,5% 75cl;-;7,5;10;-;-;-;13,5;74,07407407
25364;Undurraga Terroir Hunter Riesling 12,5% 75cl;-;14,99;19,99;-;-;-;12,5;159,92
25363;Undurraga Terroir Hunter Carignan 14,5% 75cl;-;14,5;19,33;-;-;-;14,5;133,3103448
25374;Ron Zacapa XO 40% 70cl;-;113,5;162,14;-;-;-;40;405,35
25375;Four Roses Bourbon 40% 100cl;-;27,99;27,99;-;-;-;40;69,975
25376;Mount Gay Rum 1703 43% 70cl;-;91;130;-;-;-;43;302,3255814
25377;Mount Gay Rum XO 43% 70cl;-;49,99;71,41;-;-;-;43;166,0697674
25386;Vana Tallinn Glögi 12% 70cl;-;5,99;8,56;-;-;-;12;71,33333333
25391;Canella Bellini Cocktail 6% 75cl;-;8,5;11,33;-;-;-;6;188,8333333
25388;Torres Las Mulas Reserva Viognier Organic 13,5% 75cl;-;7,99;10,65;-;-;-;13,5;78,88888889
25389;Tommasi Appassionato Adorato White 13% 75cl;-;9,99;13,32;-;-;-;13;102,4615385
25390;Tommasi Appassionato Graticcio Red 13% 75cl;-;9,99;13,32;-;-;-;13;102,4615385
25395;Santiago 1541 Syrah Cabernet Malbec 12,5% 75cl;-;5,99;7,99;-;-;-;12,5;63,92
25400;Fläminger Jagd 30% 100cl;-;18,99;18,99;-;-;-;30;63,3
25406;Trapiche Cabernet Sauvignon Syrah Organic 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
25404;Trapiche Viognier 13,5% 75cl;-;5,5;7,33;-;-;-;13,5;54,2962963
25407;Boulard Calvados Grand Solage 40% 100cl;-;37,5;37,5;-;-;-;40;93,75
25402;Ballet Carte Noire Brut 11,5% 75cl;-;4,99;6,65;-;-;-;11,5;57,82608696
25403;Ballet Carte Noire Demi Sec 11,5% 75cl;-;4,99;6,65;-;-;-;11,5;57,82608696
25412;Croizet VSOP 40% 70cl;-;34,99;49,99;-;-;-;40;124,975
25405;Trapiche Pinot Grigio 12,5% 75cl;-;6,5;8,67;-;-;-;12,5;69,36
25409;Marques de Riscal Vina Collada Rioja 14% 75cl;-;6,99;9,32;-;-;-;14;66,57142857
25420;Chateau Saint-Leon Bordeaux Superieur 12,5% 75cl;-;12,99;17,32;-;-;-;12,5;138,56
